"","NOCTILIONIDAE","y"
"1",0,-4.92228202463588
"2",0.0101010101010101,-4.92228202463588
"3",0.0202020202020202,-4.92228202463588
"4",0.0303030303030303,-4.92228202463588
"5",0.0404040404040404,-4.92228202463588
"6",0.0505050505050505,-4.92228202463588
"7",0.0606060606060606,-4.92228202463588
"8",0.0707070707070707,-4.92228202463588
"9",0.0808080808080808,-4.92228202463588
"10",0.0909090909090909,-4.92228202463588
"11",0.101010101010101,-4.92228202463588
"12",0.111111111111111,-4.92228202463588
"13",0.121212121212121,-4.92228202463588
"14",0.131313131313131,-4.92228202463588
"15",0.141414141414141,-4.92228202463588
"16",0.151515151515152,-4.92228202463588
"17",0.161616161616162,-4.92228202463588
"18",0.171717171717172,-4.92228202463588
"19",0.181818181818182,-4.92228202463588
"20",0.191919191919192,-4.92228202463588
"21",0.202020202020202,-4.92228202463588
"22",0.212121212121212,-4.92228202463588
"23",0.222222222222222,-4.92228202463588
"24",0.232323232323232,-4.92228202463588
"25",0.242424242424242,-4.92228202463588
"26",0.252525252525253,-4.92228202463588
"27",0.262626262626263,-4.92228202463588
"28",0.272727272727273,-4.92228202463588
"29",0.282828282828283,-4.92228202463588
"30",0.292929292929293,-4.92228202463588
"31",0.303030303030303,-4.92228202463588
"32",0.313131313131313,-4.92228202463588
"33",0.323232323232323,-4.92228202463588
"34",0.333333333333333,-4.92228202463588
"35",0.343434343434343,-4.92228202463588
"36",0.353535353535354,-4.92228202463588
"37",0.363636363636364,-4.92228202463588
"38",0.373737373737374,-4.92228202463588
"39",0.383838383838384,-4.92228202463588
"40",0.393939393939394,-4.92228202463588
"41",0.404040404040404,-4.92228202463588
"42",0.414141414141414,-4.92228202463588
"43",0.424242424242424,-4.92228202463588
"44",0.434343434343434,-4.92228202463588
"45",0.444444444444444,-4.92228202463588
"46",0.454545454545455,-4.92228202463588
"47",0.464646464646465,-4.92228202463588
"48",0.474747474747475,-4.92228202463588
"49",0.484848484848485,-4.92228202463588
"50",0.494949494949495,-4.92228202463588
"51",0.505050505050505,-4.92228202463588
"52",0.515151515151515,-4.92228202463588
"53",0.525252525252525,-4.92228202463588
"54",0.535353535353535,-4.92228202463588
"55",0.545454545454546,-4.92228202463588
"56",0.555555555555556,-4.92228202463588
"57",0.565656565656566,-4.92228202463588
"58",0.575757575757576,-4.92228202463588
"59",0.585858585858586,-4.92228202463588
"60",0.595959595959596,-4.92228202463588
"61",0.606060606060606,-4.92228202463588
"62",0.616161616161616,-4.92228202463588
"63",0.626262626262626,-4.92228202463588
"64",0.636363636363636,-4.92228202463588
"65",0.646464646464647,-4.92228202463588
"66",0.656565656565657,-4.92228202463588
"67",0.666666666666667,-4.92228202463588
"68",0.676767676767677,-4.92228202463588
"69",0.686868686868687,-4.92228202463588
"70",0.696969696969697,-4.92228202463588
"71",0.707070707070707,-4.92228202463588
"72",0.717171717171717,-4.92228202463588
"73",0.727272727272727,-4.92228202463588
"74",0.737373737373737,-4.92228202463588
"75",0.747474747474748,-4.92228202463588
"76",0.757575757575758,-4.92228202463588
"77",0.767676767676768,-4.92228202463588
"78",0.777777777777778,-4.92228202463588
"79",0.787878787878788,-4.92228202463588
"80",0.797979797979798,-4.92228202463588
"81",0.808080808080808,-4.92228202463588
"82",0.818181818181818,-4.92228202463588
"83",0.828282828282828,-4.92228202463588
"84",0.838383838383838,-4.92228202463588
"85",0.848484848484849,-4.92228202463588
"86",0.858585858585859,-4.92228202463588
"87",0.868686868686869,-4.92228202463588
"88",0.878787878787879,-4.92228202463588
"89",0.888888888888889,-4.92228202463588
"90",0.898989898989899,-4.92228202463588
"91",0.909090909090909,-4.92228202463588
"92",0.919191919191919,-4.92228202463588
"93",0.929292929292929,-4.92228202463588
"94",0.939393939393939,-4.92228202463588
"95",0.94949494949495,-4.92228202463588
"96",0.95959595959596,-4.92228202463588
"97",0.96969696969697,-4.92228202463588
"98",0.97979797979798,-4.92228202463588
"99",0.98989898989899,-4.92228202463588
"100",1,-4.92228202463588
