"","STRIGIDAE","y"
"1",0,-5.75573960443536
"2",0.0101010101010101,-5.75573960443536
"3",0.0202020202020202,-5.75573960443536
"4",0.0303030303030303,-5.75573960443536
"5",0.0404040404040404,-5.75573960443536
"6",0.0505050505050505,-5.75573960443536
"7",0.0606060606060606,-5.75573960443536
"8",0.0707070707070707,-5.75573960443536
"9",0.0808080808080808,-5.75573960443536
"10",0.0909090909090909,-5.75573960443536
"11",0.101010101010101,-5.75573960443536
"12",0.111111111111111,-5.75573960443536
"13",0.121212121212121,-5.75573960443536
"14",0.131313131313131,-5.75573960443536
"15",0.141414141414141,-5.75573960443536
"16",0.151515151515152,-5.75573960443536
"17",0.161616161616162,-5.75573960443536
"18",0.171717171717172,-5.75573960443536
"19",0.181818181818182,-5.75573960443536
"20",0.191919191919192,-5.75573960443536
"21",0.202020202020202,-5.75573960443536
"22",0.212121212121212,-5.75573960443536
"23",0.222222222222222,-5.75573960443536
"24",0.232323232323232,-5.75573960443536
"25",0.242424242424242,-5.75573960443536
"26",0.252525252525253,-5.75573960443536
"27",0.262626262626263,-5.75573960443536
"28",0.272727272727273,-5.75573960443536
"29",0.282828282828283,-5.75573960443536
"30",0.292929292929293,-5.75573960443536
"31",0.303030303030303,-5.75573960443536
"32",0.313131313131313,-5.75573960443536
"33",0.323232323232323,-5.75573960443536
"34",0.333333333333333,-5.75573960443536
"35",0.343434343434343,-5.75573960443536
"36",0.353535353535354,-5.75573960443536
"37",0.363636363636364,-5.75573960443536
"38",0.373737373737374,-5.75573960443536
"39",0.383838383838384,-5.75573960443536
"40",0.393939393939394,-5.75573960443536
"41",0.404040404040404,-5.75573960443536
"42",0.414141414141414,-5.75573960443536
"43",0.424242424242424,-5.75573960443536
"44",0.434343434343434,-5.75573960443536
"45",0.444444444444444,-5.75573960443536
"46",0.454545454545455,-5.75573960443536
"47",0.464646464646465,-5.75573960443536
"48",0.474747474747475,-5.75573960443536
"49",0.484848484848485,-5.75573960443536
"50",0.494949494949495,-5.75573960443536
"51",0.505050505050505,-5.70199721085969
"52",0.515151515151515,-5.70199721085969
"53",0.525252525252525,-5.70199721085969
"54",0.535353535353535,-5.70199721085969
"55",0.545454545454546,-5.70199721085969
"56",0.555555555555556,-5.70199721085969
"57",0.565656565656566,-5.70199721085969
"58",0.575757575757576,-5.70199721085969
"59",0.585858585858586,-5.70199721085969
"60",0.595959595959596,-5.70199721085969
"61",0.606060606060606,-5.70199721085969
"62",0.616161616161616,-5.70199721085969
"63",0.626262626262626,-5.70199721085969
"64",0.636363636363636,-5.70199721085969
"65",0.646464646464647,-5.70199721085969
"66",0.656565656565657,-5.70199721085969
"67",0.666666666666667,-5.70199721085969
"68",0.676767676767677,-5.70199721085969
"69",0.686868686868687,-5.70199721085969
"70",0.696969696969697,-5.70199721085969
"71",0.707070707070707,-5.70199721085969
"72",0.717171717171717,-5.70199721085969
"73",0.727272727272727,-5.70199721085969
"74",0.737373737373737,-5.70199721085969
"75",0.747474747474748,-5.70199721085969
"76",0.757575757575758,-5.70199721085969
"77",0.767676767676768,-5.70199721085969
"78",0.777777777777778,-5.70199721085969
"79",0.787878787878788,-5.70199721085969
"80",0.797979797979798,-5.70199721085969
"81",0.808080808080808,-5.70199721085969
"82",0.818181818181818,-5.70199721085969
"83",0.828282828282828,-5.70199721085969
"84",0.838383838383838,-5.70199721085969
"85",0.848484848484849,-5.70199721085969
"86",0.858585858585859,-5.70199721085969
"87",0.868686868686869,-5.70199721085969
"88",0.878787878787879,-5.70199721085969
"89",0.888888888888889,-5.70199721085969
"90",0.898989898989899,-5.70199721085969
"91",0.909090909090909,-5.70199721085969
"92",0.919191919191919,-5.70199721085969
"93",0.929292929292929,-5.70199721085969
"94",0.939393939393939,-5.70199721085969
"95",0.94949494949495,-5.70199721085969
"96",0.95959595959596,-5.70199721085969
"97",0.96969696969697,-5.70199721085969
"98",0.97979797979798,-5.70199721085969
"99",0.98989898989899,-5.70199721085969
"100",1,-5.70199721085969
